# u, t(=u+rB), psi0t_rB  — ZccmJl unringed quiescent-BC pulse run
# rwt=40 rB=41 Z=1e-3 n=65 du=7.8125e-4 paper-pulse(yc=0,ymin=-0.8,ymax=0.8,tauy=0.15)
11.125000000006999,52.125000000007,-1.7162619339323119e-6
11.150000000006976,52.150000000006976,-1.716582047342169e-6
11.175000000006953,52.17500000000695,-1.7168806538161078e-6
11.20000000000693,52.20000000000693,-1.7171577002673263e-6
11.225000000006908,52.22500000000691,-1.7174131339963464e-6
11.250000000006885,52.250000000006885,-1.7176469026918463e-6
11.275000000006862,52.27500000000686,-1.7178589544327234e-6
11.30000000000684,52.30000000000684,-1.7180492376894788e-6
11.325000000006817,52.32500000000682,-1.7182177013266577e-6
11.350000000006794,52.350000000006794,-1.7183642946040635e-6
11.375000000006771,52.37500000000677,-1.7184889671790327e-6
11.400000000006749,52.40000000000675,-1.7185916691080961e-6
11.425000000006726,52.425000000006726,-1.7186723508484327e-6
11.450000000006703,52.4500000000067,-1.7187309632598186e-6
11.47500000000668,52.47500000000668,-1.7187674576059877e-6
11.500000000006658,52.50000000000666,-1.7187817855572433e-6
11.525000000006635,52.525000000006635,-1.7187738991914797e-6
11.550000000006612,52.55000000000661,-1.7187437509958086e-6
11.57500000000659,52.57500000000659,-1.718691293868774e-6
11.600000000006567,52.60000000000657,-1.718616481121375e-6
11.625000000006544,52.625000000006544,-1.718519266479331e-6
11.650000000006521,52.65000000000652,-1.7183996040841804e-6
11.675000000006499,52.6750000000065,-1.718257448495219e-6
11.700000000006476,52.700000000006476,-1.7180927546913422e-6
11.725000000006453,52.72500000000645,-1.7179054780719377e-6
11.75000000000643,52.75000000000643,-1.7176955744596474e-6
11.775000000006408,52.77500000000641,-1.7174630001003803e-6
11.800000000006385,52.800000000006385,-1.717207711666037e-6
11.825000000006362,52.82500000000636,-1.7169296662561043e-6
11.85000000000634,52.85000000000634,-1.716628821398625e-6
11.875000000006317,52.87500000000632,-1.7163051350521047e-6
